Name,NewPts,Salary,Position,teamAbbrev
Stepfan Taylor,0,3000,RB,Ari
Brandon Wegher,0,3000,RB,Car
Kevin Norwood,0,3000,WR,Car
Christine Michael,0,3000,RB,Dal
Nick Williams,0,3000,WR,Atl
Jay Prosch,0,3000,RB,Hou
TJ Jones,0,3000,WR,Det
Rod Streater,0,3000,WR,Oak
DeAndrew White,0,3000,WR,SF
Matt Hazel,0,3000,WR,Mia
Corey Brown,0,3000,WR,Car
Ty Montgomery,0,3000,WR,GB
DeVante Parker,0,3000,WR,Mia
Alonzo Harris,0,3000,RB,GB
Aaron Ripkowski,0,3000,RB,GB
Bradley Marquez,0,3000,WR,StL
Raheem Mostert,0,3000,RB,Bal
Cody Latimer,0,3000,WR,Den
Brittan Golden,0,3000,WR,Ari
Trey Williams,0,3000,RB,Dal
Cameron Artis-Payne,0,3000,RB,Car
Jaelen Strong,0,3000,WR,Hou
Adam Thielen,0,3000,WR,Min
Mario Alford,0,3000,WR,Cin
Garrett Graham,0,2500,TE,Hou
Anthony McCoy,0,2500,TE,Was
Richard Gordon,0,2500,TE,Den
Sean McGrath,0,2500,TE,SD
Jake Stoneburner,0,2500,TE,Mia
Cory Harkey,0,2500,TE,StL
Justice Cunningham,0,2500,TE,StL
Brandon Williams,0,2500,TE,Mia
Cooper Helfet,0,2500,TE,Sea
Trey Burton,0,2500,TE,Phi
Tyler Kroft,0,2500,TE,Cin
C.J. Uzomah,0,2500,TE,Cin
Austin Seferian-Jenkins,0,2500,TE,TB
Kennard Backman,0,2500,TE,GB
Troy Niklas,0,2500,TE,Ari
Geoff Swaim,0,2500,TE,Dal
Khari Lee,0,2500,TE,Chi
